Vividthree,OMK,Cyclical Consumer Services
Wee Hur,E3B,Industrial & Commercial Services
Willas-Array,BDR,Technology Equipment
Wilmar Intl,F34,Food & Beverages
Wilton Resources,5F7,Mineral Resources
Winas,5CN,Transportation
Wing Tai,W05,Real Estate
Wong Fong Ind,1A1,Industrial Goods
World Class Gbl,1.00E+06,Cyclical Consumer Products
World Precision,B49,Industrial Goods
XMH,BQF,Industrial Goods
Y Ventures,1F1,Software & IT Services
Yamada Green Res,BJV,Food & Beverages
Yanlord Land,Z25,Real Estate
Yeo Hiap Seng,Y03,Food & Beverages
YHI Intl,BPF,Automobiles & Auto Parts
Yinda Infocomm,42F,Telecommunications Services
Ying Li Intl,5DM,Real Estate
Yoma Strategic,Z59,Real Estate
Yongmao,BKX,Industrial Goods
Yongnam,AXB,Industrial & Commercial Services
Yorkshine,MR8,Mineral Resources
Yunnan Energy,T43,Technology Equipment
YuuZoo Networks,AFC,Software & IT Services
YZJ Shipbldg CNY,SO7,
YZJ Shipbldg SGD,BS6,Industrial Goods
Zhongmin Baihui,5SR,Retailers
Zhongxin Fruit,5EG,Food & Beverages
ZICO Hldgs,40W,Industrial & Commercial Services
