China Sunsine,CH8,Chemicals
China Taisan,AZW,Cyclical Consumer Products
China Yuanbang,BCD,Real Estate
ChinaKangdaFood,P74,Food & Beverages
ChinaKundaTech,GU5,Automobiles & Auto Parts
Chinese Global,5CJ,Industrial & Commercial Services
Chip Eng Seng,C29,Real Estate
Chip Eng Seng R,8I7R,
Chip Eng Seng R1,9CNR,
Choo Chiang,42E,Industrial Goods
Chuan Hup,C33,Technology Equipment
Citic Envirotech,CEE,Industrial & Commercial Services
Citicode,5FH,Mineral Resources
CityDev,C09,Real Estate
Civmec,P9D,Industrial & Commercial Services
Clearbridge,1H3,Healthcare Services
CNA,5GC,Industrial & Commercial Services
CNMC Goldmine,5TP,Mineral Resources
Colex,567,Industrial & Commercial Services
Combine Will,N0Z,Cyclical Consumer Products
ComfortDelGro,C52,Transportation
Cordlife,P8A,Healthcare Services
Cortina,C41,Retailers
COSCO SHP SG,F83,Industrial Goods
CosmoSteel,B9S,Mineral Resources
Courage Inv,CIN,Transportation
CPH,539,Technology Equipment
Creative,C76,Technology Equipment
CromwellReit EUR,CNNU,Real Estate
CromwellReit SGD,CSFU,
CSC,C06,Industrial & Commercial Services
CSE Global,544,Software & IT Services
CWX Global,594,Cyclical Consumer Products
DairyFarm USD,D01,Food & Drug Retailing
Darco Water Tech,BLR,Industrial & Commercial Services
Dasin Retail Tr,CEDU,Real Estate
Datapulse Tech,BKW,Technology Equipment
DBS,D05,Banking & Investment Services
Debao Property,BTF,Real Estate
Del Monte Pac,D03,Food & Beverages
Delfi,P34,Food & Beverages
Design Studio,D11,Cyclical Consumer Products
DISA,532,Industrial Conglomerates
DLF,KUX,Industrial & Commercial Services
Dragon,MT1,Industrial Goods
Dukang,BKV,Food & Beverages
Dutech,CZ4,Technology Equipment
Duty Free Intl,5SO,Transportation
Dyna-Mac,NO4,Industrial Goods
Dynamic Colours,D6U,Chemicals
Eagle HTrust USD,LIW,Real Estate
EC World Reit,BWCU,Real Estate
EcoWise,5CT,Industrial & Commercial Services
Edition,5HG,Software & IT Services
Eindec,42Z,Industrial Goods
Elec & Eltek USD,E16,Technology Equipment
Ellipsiz,BIX,Technology Equipment
EMAS Offshore,UQ4,
EMS Energy,42O,Energy - Fossil Fuels
Eneco Energy,R14,Transportation
EnGro,S44,Mineral Resources
Envictus,BQD,Food & Beverages
Enviro-Hub,L23,Industrial & Commercial Services
Epicentre,5MQ,Technology Equipment
ES,5RC,Industrial Goods
ESR-REIT,J91U,Real Estate
ETC Singapore,1C0,Industrial Goods
EuroSports Gbl,5G1,Retailers
Excelpoint,BDF,Technology Equipment
Ezion,5ME,Energy - Fossil Fuels
Ezra,5DN,Energy - Fossil Fuels
F & N,F99,Food & Beverages
Fabchem China,BFT,Chemicals
Falcon Energy,5FL,Energy - Fossil Fuels
Far East,5TJ,Industrial Goods
Far East HTrust,Q5T,Real Estate
Far East Orchard,O10,Real Estate
Federal Int,BDU,Energy - Fossil Fuels
Figtree,5F4,Real Estate
First Reit,AW9U,Real Estate
First Resources,EB5,Food & Beverages
First Sponsor,ADN,Real Estate
FJ Benjamin,F10,Retailers
Food Empire,F03,Food & Beverages
Forise Intl,I5H,Industrial & Commercial Services
FortressMinerals,OAJ,Mineral Resources
Fortune Reit HKD,F25U,Real Estate
Fragrance,F31,Real Estate
Frasers Com Tr,ND8U,Real Estate
Frasers Cpt Tr,J69U,Real Estate
Frasers HTrust,ACV,Real Estate
Frasers L&I Tr,BUOU,Real Estate
Frasers L&I Tr  AUD,BWQU,
Frasers Property,TQ5,Real Estate
Frencken,E28,Industrial Goods
FSL Trust,D8DU,Transportation
Fu Yu,F13,Industrial Goods
Fuji Offset,508,Industrial & Commercial Services
Fujian Zhenyun,5KT,Cyclical Consumer Products
Full Apex,BTY,Applied Resources
Fuxing China,AWK,Cyclical Consumer Products
G Invacom,QS9,Technology Equipment
G K Goh,G41,Banking & Investment Services
Gallant Venture,5IG,Automobiles & Auto Parts
GCCP,41T,Mineral Resources
GDS Global,5VP,Cyclical Consumer Products
Genting Sing,G13,Cyclical Consumer Services
Geo Energy Res,RE4,Energy - Fossil Fuels
GKE,595,Transportation
GL,B16,Cyclical Consumer Services
Global Dragon,586,Industrial & Commercial Services
Global Inv,B73,Collective Investments
Global Palm Res,BLW,Food & Beverages
Global Testing,AYN,Technology Equipment
Golden Agri-Res,E5H,Food & Beverages
Golden Energy,AUE,Energy - Fossil Fuels
Goodland,5PC,Real Estate
GP Industries,G20,Industrial Goods
Grand Banks,G50,Cyclical Consumer Products
Grand Venture,JLB,Industrial Goods
Great Eastern,G07,Insurance
Green Build,Y06,Food & Beverages
GRP,BLU,Cyclical Consumer Products
GS Hldg,43A,Industrial & Commercial Services
GSH,BDX,Cyclical Consumer Services
GSS Energy,41F,Industrial Goods
Guoan Intl,G11,Industrial & Commercial Services
GuocoLand,F17,Real Estate
GYP Properties,AWS,Cyclical Consumer Services
Hafary,5VS,Cyclical Consumer Products
Hai Leck,BLH,Energy - Fossil Fuels
Halcyon Agri,5VJ,Automobiles & Auto Parts
Hanwell,DM0,Applied Resources
Hatten Land,PH0,Real Estate
Haw Par,H02,
HC Surgical,1B1,Healthcare Services
HealthBank,40B,Cyclical Consumer Services
Healthway Med,5NG,Healthcare Services
Heatec Jietong,5OR,Industrial & Commercial Services
Heeton,5DP,Real Estate
Hengyang Petro,5PD,Energy - Fossil Fuels
HG Metal,BTG,Mineral Resources
Hi-P,H17,Industrial Goods
Hiap Hoe,5JK,Real Estate
Hiap Seng,510,Energy - Fossil Fuels
Hiap Tong,5PO,Banking & Investment Services
HL Global Ent,AVX,Cyclical Consumer Services
HMI,588,Healthcare Services
Ho Bee Land,H13,Real Estate
Hock Lian Seng,J2T,Industrial & Commercial Services
Hoe Leong,H20,Industrial Goods
Hong Fok,H30,Real Estate
Hong Lai Huat,CTO,Real Estate
Hong Leong Asia,H22,Automobiles & Auto Parts
Hong Leong Fin,S41,Banking & Investment Services
HongkongLand USD,H78,Real Estate
Hor Kew,BBP,Industrial & Commercial Services
Hosen,5EV,Food & Beverages
